Data Set,Field,Name,Description,Type,Format
player,ict_index_rank,ICT Index Rank,ICT Index of the player compared to others as calculated by FPL. The lower the rank the better.,int,{:.0f}
player,influence,Influence,Degree to which the player has made an impact throughout the season as calculated by FPL. It takes into account events and actions that could directly or indirectly effect the outcome of the fixture. At the top level these are decisive actions like goals and assists. But the Influence score also processes significant defensive actions to analyse the effectiveness of defenders and goalkeepers.,float,{:.1f}
player,influence_rank,Influence Rank,Influence of the player compared to others as calculated by FPL. The lower the rank the better.,int,{:.0f}
player,creativity,Creativity,"Performance of the player in terms of producing goalscoring opportunities for others as calculated by FPL. It can be used as a guide to identify the players most likely to supply assists. While this analyses frequency of passing and crossing, it also considers pitch location and quality of the final ball.",float,{:.1f}
player,creativity_rank,Creativity Rank,Creativity of the player compared to others as calculated by FPL. The lower the rank the better.,int,{:.0f}
player,threat,Threat,"Threat of the player on goal as calculated by FPL. It gauges individuals most likely to score goals. While attempts are the key action, the Index looks at pitch location, giving greater weight to actions that are regarded as the best chances to score.",float,{:.1f}
player,threat_rank,Threat Rank,Threat of the player compared to others as calculated by FPL. The lower the rank the better.,int,{:.0f}
team,,Team FDR,Difficulty score of the team (1: Easy to 5: Difficult),int,{:.0f}
fixture,started,Started,Whether the game has started,bool,
fixture,finished,Finished,Whether the game has finished,bool,
player,element_type,Field Position Code,ID of the position that the player plays in,int,
player_hist,fixture,Fixture ID,ID of the fixture.,int,
player_hist,player_id,Player ID,ID of the player.,int,{:.1f}
player_hist,total_points,Fixture Total Points,Total points that the player was awarded for the fixture.,int,{:.0f}pts
player_hist,minutes,Fixture Minutes Played,Number of minutes the player played at the fixture.,int,
player_hist,value,Fixture Cost x10,The cost of the player at the end of the season in millions times 10.,float,{:.0f}
player_hist,goals_scored,Fixture Goals Scored,Number of goals scored by the player during the match.,int,{:.0f}
player_hist,assists,Fixture Assists,Number of assists to goals by the player during the match.,int,{:.0f}
player_hist,clean_sheets,Fixture Clean Sheets,"Number of clean sheets that the player was awarded during the match. Note that if a player does not play during a fixture with a clean sheet, the clean sheet count for this player will not increase.",int,{:.0f}
player_hist,goals_conceded,Fixture Goals Conceded,Number of goals conceded while the player was playing during the match.,int,{:.0f}
player_hist,own_goals,Fixture Own Goals,Number of own goals scored by the player during the match.,int,{:.0f}
player_hist,penalties_saved,Fixture Penalties Saved,Number of penalties saved by the player during the match.,int,{:.0f}
player_hist,penalties_missed,Fixture Penalties Missed,Number of penalties missed by the player during the match.,int,{:.0f}
player_hist,yellow_cards,Fixture Yellow Cards,Number of yellow cards received by the player during the match.,int,{:.0f}
player_hist,red_cards,Fixture Red Cards,Number of red cards received by the player during the match.,int,{:.0f}
player_hist,saves,Fixture Saves,Number of saves the player has made during the match.,int,{:.0f}
player_hist,bonus,Fixture Bonus Points,Number of bonus points the player has earned during the match.,int,{:.0f}
player_hist,bps,Fixture BPS Score,Score of the player for the match according to the Bonus Point System (see https://www.premierleague.com/news/106533).,int,{:.0f}
player_hist,ict_index,Fixture ICT Index,"ICT Index for the match as calculated by FPL based on the Influence, Creativity and Threat.",float,{:.1f}
player_hist,influence,Fixture Influence,Degree to which the player has made an impact during the match as calculated by FPL. It takes into account events and actions that could directly or indirectly effect the outcome of the fixture. At the top level these are decisive actions like goals and assists. But the Influence score also processes significant defensive actions to analyse the effectiveness of defenders and goalkeepers.,float,{:.1f}
player_hist,creativity,Fixture Creativity,"Performance of the player in terms of producing goalscoring opportunities for others during the match as calculated by FPL. It can be used as a guide to identify the players most likely to supply assists. While this analyses frequency of passing and crossing, it also considers pitch location and quality of the final ball.",float,{:.1f}
player_hist,threat,Fixture Threat,"Threat of the player on goal during the match as calculated by FPL. It gauges individuals most likely to score goals. While attempts are the key action, the Index looks at pitch location, giving greater weight to actions that are regarded as the best chances to score.",float,{:.1f}
player_hist,transfers_in,Fixture Transfers In,Total number of participants who bought the player before the match.,int,{:.0f}
player_hist,transfers_out,Fixture Transfers Out,Total number of participants who sold the player before the match.,int,{:.0f}
fixture,team_a,Away Team ID,ID of the away team for the fixture,int,{:.0f} min
fixture,team_h,Home Team ID,ID of the home team for the fixture,int,
fixture,team_a_score,Away Team Score,Goals scored by the away team,int,
fixture,team_h_score,Home Team Score,Goals scored by the home team,int,
fixture,team_a_difficulty,Away Team FDR,Difficulty score of the away team (1: Easy to 5: Difficult),int,
fixture,team_h_difficulty,Home Team FDR,Difficulty score of the home team (1: Easy to 5: Difficult),int,
fixture,event,Game Week,Game week of the fixture (1 to 38),int,{:.0f}
,,Current Game Week,Current game week for the team.,int,{:.0f}
fixture,kickoff_time,Kick Off Time,Kick off date and time of the fixture.,datetime64,
player,position,Team Position,"Position in the team selection, e.g. 0 is the goal keeper.",int,{:.0f}
player,multiplier,Point Factor,"Multiplier for calculating the expected points at the team level. This value is 0 for players that are not selected, 2 for the captain and 1 for the rest.",int,
,,Player Last Updated,Date/time when the data for this player was last loaded from the FPL API.,datetime64,
,,Fixtures Next GW,"Next fixture of the team, including strength of opposing team.",str,
,,Fixtures Next 8 GWs,"Next 8 fixtures of the team, including strengths of opposing teams.",str,
,,Fixture Last Updated,Date/time when the data for this fixture was last loaded from the FPL API.,datetime64,
,,Expected Points GW 1,Points that the player is expected to earn in game week 1.,float,{:.0f}pts
,,Expected Points GW 2,Points that the player is expected to earn in game week 2.,float,{:.0f}pts
,,Expected Points GW 3,Points that the player is expected to earn in game week 3.,float,{:.0f}pts
,,Expected Points GW 4,Points that the player is expected to earn in game week 4.,float,{:.0f}pts
,,Expected Points GW 5,Points that the player is expected to earn in game week 5.,float,{:.0f}pts
,,Expected Points GW 6,Points that the player is expected to earn in game week 6.,float,{:.0f}pts
,,Expected Points GW 7,Points that the player is expected to earn in game week 7.,float,{:.0f}pts
,,Expected Points GW 8,Points that the player is expected to earn in game week 8.,float,{:.0f}pts
,,Expected Points GW 9,Points that the player is expected to earn in game week 9.,float,{:.0f}pts
,,Expected Points GW 10,Points that the player is expected to earn in game week 10.,float,{:.0f}pts
,,Expected Points GW 11,Points that the player is expected to earn in game week 11.,float,{:.0f}pts
,,Expected Points GW 12,Points that the player is expected to earn in game week 12.,float,{:.0f}pts
,,Expected Points GW 13,Points that the player is expected to earn in game week 13.,float,{:.0f}pts
,,Expected Points GW 14,Points that the player is expected to earn in game week 14.,float,{:.0f}pts
,,Expected Points GW 15,Points that the player is expected to earn in game week 15.,float,{:.0f}pts
,,Expected Points GW 16,Points that the player is expected to earn in game week 16.,float,{:.0f}pts
,,Expected Points GW 17,Points that the player is expected to earn in game week 17.,float,{:.0f}pts
,,Expected Points GW 18,Points that the player is expected to earn in game week 18.,float,{:.0f}pts
,,Expected Points GW 19,Points that the player is expected to earn in game week 19.,float,{:.0f}pts
,,Expected Points GW 20,Points that the player is expected to earn in game week 20.,float,{:.0f}pts
,,Expected Points GW 21,Points that the player is expected to earn in game week 21.,float,{:.0f}pts
,,Expected Points GW 22,Points that the player is expected to earn in game week 22.,float,{:.0f}pts
,,Expected Points GW 23,Points that the player is expected to earn in game week 23.,float,{:.0f}pts
,,Expected Points GW 24,Points that the player is expected to earn in game week 24.,float,{:.0f}pts
,,Expected Points GW 25,Points that the player is expected to earn in game week 25.,float,{:.0f}pts
,,Expected Points GW 26,Points that the player is expected to earn in game week 26.,float,{:.0f}pts
,,Expected Points GW 27,Points that the player is expected to earn in game week 27.,float,{:.0f}pts
,,Expected Points GW 28,Points that the player is expected to earn in game week 28.,float,{:.0f}pts
,,Expected Points GW 29,Points that the player is expected to earn in game week 29.,float,{:.0f}pts
,,Expected Points GW 30,Points that the player is expected to earn in game week 30.,float,{:.0f}pts
,,Expected Points GW 31,Points that the player is expected to earn in game week 31.,float,{:.0f}pts
,,Expected Points GW 32,Points that the player is expected to earn in game week 32.,float,{:.0f}pts
,,Expected Points GW 33,Points that the player is expected to earn in game week 33.,float,{:.0f}pts
,,Expected Points GW 34,Points that the player is expected to earn in game week 34.,float,{:.0f}pts
,,Expected Points GW 35,Points that the player is expected to earn in game week 35.,float,{:.0f}pts
,,Expected Points GW 36,Points that the player is expected to earn in game week 36.,float,{:.0f}pts
,,Expected Points GW 37,Points that the player is expected to earn in game week 37.,float,{:.0f}pts
,,Expected Points GW 38,Points that the player is expected to earn in game week 38.,float,{:.0f}pts
,,Expected Points Next GW,Points that the player is expected to earn in the upcoming game week.,float,{:.0f}pts
,,Expected Points Next 2 GWs,Points that the player is expected to earn over the next 2 game weeks,float,{:.0f}pts
,,Expected Points Next 3 GWs,Points that the player is expected to earn over the next 3 game weeks,float,{:.0f}pts
,,Expected Points Next 4 GWs,Points that the player is expected to earn over the next 4 game weeks,float,{:.0f}pts
,,Expected Points Next 5 GWs,Points that the player is expected to earn over the next 5 game weeks,float,{:.0f}pts
,,Expected Points Next 6 GWs,Points that the player is expected to earn over the next 6 game weeks,float,{:.0f}pts
,,Expected Points Next 7 GWs,Points that the player is expected to earn over the next 7 game weeks,float,{:.0f}pts
,,Expected Points Next 8 GWs,Points that the player is expected to earn over the next 8 game weeks,float,{:.0f}pts
,,Expected Points Next 9 GWs,Points that the player is expected to earn over the next 9 game weeks,float,{:.0f}pts
,,Expected Points Next 10 GWs,Points that the player is expected to earn over the next 10 game weeks,float,{:.0f}pts
,,Expected Points Next 11 GWs,Points that the player is expected to earn over the next 11 game weeks,float,{:.0f}pts
,,Expected Points Next 12 GWs,Points that the player is expected to earn over the next 12 game weeks,float,{:.0f}pts
,,Expected Points Next 13 GWs,Points that the player is expected to earn over the next 13 game weeks,float,{:.0f}pts
,,Expected Points Next 14 GWs,Points that the player is expected to earn over the next 14 game weeks,float,{:.0f}pts
,,Expected Points Next 15 GWs,Points that the player is expected to earn over the next 15 game weeks,float,{:.0f}pts
,,Expected Points Next 16 GWs,Points that the player is expected to earn over the next 16 game weeks,float,{:.0f}pts
,,Expected Points Next 17 GWs,Points that the player is expected to earn over the next 17 game weeks,float,{:.0f}pts
,,Expected Points Next 18 GWs,Points that the player is expected to earn over the next 18 game weeks,float,{:.0f}pts
,,Expected Points Next 19 GWs,Points that the player is expected to earn over the next 19 game weeks,float,{:.0f}pts
,,Expected Points Next 20 GWs,Points that the player is expected to earn over the next 20 game weeks,float,{:.0f}pts
,,Expected Points Next 21 GWs,Points that the player is expected to earn over the next 21 game weeks,float,{:.0f}pts
,,Expected Points Next 22 GWs,Points that the player is expected to earn over the next 22 game weeks,float,{:.0f}pts
,,Expected Points Next 23 GWs,Points that the player is expected to earn over the next 23 game weeks,float,{:.0f}pts
,,Expected Points Next 24 GWs,Points that the player is expected to earn over the next 24 game weeks,float,{:.0f}pts
,,Expected Points Next 25 GWs,Points that the player is expected to earn over the next 25 game weeks,float,{:.0f}pts
,,Expected Points Next 26 GWs,Points that the player is expected to earn over the next 26 game weeks,float,{:.0f}pts
,,Expected Points Next 27 GWs,Points that the player is expected to earn over the next 27 game weeks,float,{:.0f}pts
,,Expected Points Next 28 GWs,Points that the player is expected to earn over the next 28 game weeks,float,{:.0f}pts
,,Expected Points Next 29 GWs,Points that the player is expected to earn over the next 29 game weeks,float,{:.0f}pts
,,Expected Points Next 30 GWs,Points that the player is expected to earn over the next 30 game weeks,float,{:.0f}pts
,,Expected Points Next 31 GWs,Points that the player is expected to earn over the next 31 game weeks,float,{:.0f}pts
,,Expected Points Next 32 GWs,Points that the player is expected to earn over the next 32 game weeks,float,{:.0f}pts
,,Expected Points Next 33 GWs,Points that the player is expected to earn over the next 33 game weeks,float,{:.0f}pts
,,Expected Points Next 34 GWs,Points that the player is expected to earn over the next 34 game weeks,float,{:.0f}pts
,,Expected Points Next 35 GWs,Points that the player is expected to earn over the next 35 game weeks,float,{:.0f}pts
,,Expected Points Next 36 GWs,Points that the player is expected to earn over the next 36 game weeks,float,{:.0f}pts
,,Expected Points Next 37 GWs,Points that the player is expected to earn over the next 37 game weeks,float,{:.0f}pts
,,Expected Points Next 38 GWs,Points that the player is expected to earn over the next 38 game weeks,float,{:.0f}pts
,,Expected Points GWs To Half,Points that the player is expected to earn over remaining game weeks of the current half season.,float,{:.0f}pts
,,Expected Points GWs To End,Points that the player is expected to earn over remaining game weeks of the current season.,float,{:.0f}pts
players_history_past,total_points,Season Total Points,Points that the player earned over the whole season.,int,{:.0f}pts
players_history_past,minutes,Season Minutes,Minutes played over the whole season.,int,{:.0f} min
players_history_past,ict_index,Season ICT Index,ICT Index at the end of the season as calculated by Fantasy Premier Leauge.,float,{:.1f}
,,Last Season Total Points,Points that the player earned during the previous season.,int,{:.0f}pts
,,Expected Points,Points that the player is expected to earn for the game week.,int,{:.0f}pts
,,Expected Goals For,Goals that the team of the player is expected to score for the game week.,int,{:.0f}
,,Expected Goals Against,Goals that the team of the player is expected to conceded for the game week.,int,{:.0f}
game_week,id,GW ID,Game week ID. These range from 1 to 38.,int,{:.0f}
game_week,name,GW Name,"Name of the game week, e.g. Gameweek 1.",str,
game_week,finished,Is GW Finished?,Whether the game week has finished.,bool,{:}
game_week,is_previous,Is Prev GW?,Whether this game week is the game week that has been just completed.,bool,{:}
game_week,is_current,Is Curr GW?,Whether this game week is the current game week.,bool,{:}
game_week,is_next,Is Next GW?,Whether this game week is the next game week.,bool,{:}
game_week,deadline_time,GW Deadline,Deadline for this game week. Changes can be made up to that point but not after.,datetime64,
game_week,average_entry_score,Average GW Score,Average score for the game week.,int,{:.0f}
game_week,data_checked,GW Data Checked,Whether the data has been checked for the game week.,int,{:.0f}
game_week,highest_score,Highest GW Score,Highest score for the game week.,int,{:.0f}
game_week,chip_plays,GW Chips Played,JSON with info of how many chips were played by type for the game week.,str,
game_week,most_selected,GW Most Selected Player ID,ID of the player that most managers included in their team for the game week.,int,{:.0f}
game_week,most_transferred_in,GW Most Transferred In Player ID,ID of the player that most managers transferred into their team for the game week.,int,{:.0f}
game_week,transfers_made,GW Transfers,Total number of transfers for the game week.,int,{:.0f}
game_week,most_captained,GW Most Captained Player ID,ID of the player that most managers captained for the game week.,int,{:.0f}
game_week,most_vice_captained,GW Most Vice Captained Player ID,ID of the player that most managers vice captained for the game week.,int,{:.0f}
,,GW Last Updated,Date/time when the data for this game week was last loaded from the FPL API.,datetime64,
,,Rel Att Fixture Strength Home,Relative attacking strength of the team for the fixture for scaling the expected points of mid fielders and forwards both when playing at home,float,{:.1f}
,,Rel Att Fixture Strength Away,Relative attacking strength of the team for the fixture for scaling the expected points of mid fielders and forwards both when playing away,float,{:.1f}
,,Rel Def Fixture Strength Home,Relative defensive strength of the team for the fixture for scaling the expected points of mid fielders and forwards both when playing at home,float,{:.1f}
,,Rel Def Fixture Strength Away,Relative defensive strength of the team for the fixture for scaling the expected points of mid fielders and forwards both when playing away,float,{:.1f}
,,Rel Strength,Relative strength for this fixture compared to the average strength so far,float,{:.1f}
